FOR ~10000 Tweets processed
         66128862 function calls (65856500 primitive calls) in 481.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   886938    0.458    0.000    0.458    0.000 {method 'get' of 'dict' objects}
   139248    0.332    0.000    0.458    0.000 common.py:357(_get_dtype_type)
    23208    0.105    0.000    0.455    0.000 numeric.py:3088(__exit__)
    69624    0.243    0.000    0.455    0.000 base.py:1392(__contains__)
    92832    0.152    0.000    0.448    0.000 series.py:333(dtype)
     6655    0.026    0.000    0.440    0.000 html5parser.py:1149(startTagVoidFormatting)
    15129    0.013    0.000    0.440    0.000 treetaggerwrapper.py:1961(split_dns)
    23208    0.067    0.000    0.435    0.000 numeric.py:3083(__enter__)
    23208    0.433    0.000    0.433    0.000 {pandas.algos.take_2d_axis0_int64_int64}
        1    0.370    0.370    0.429    0.429 shutil.py:90(copyfile)
    46416    0.070    0.000    0.426    0.000 series.py:391(get_values)
   208872    0.285    0.000    0.426    0.000 range.py:458(__len__)
   131769    0.243    0.000    0.426    0.000 _tokenizer.py:843(beforeAttributeNameState)
    11979    0.016    0.000    0.418    0.000 html5parser.py:407(processSpaceCharacters)
     1331    0.005    0.000    0.417    0.000 feedparser.py:173(feed)
    55902    0.298    0.000    0.412    0.000 __init__.py:152(_replace_cdata_list_attribute_values)
    10996    0.017    0.000    0.411    0.000 treetaggerwrapper.py:1984(split_url)
    86772    0.119    0.000    0.406    0.000 _html5lib.py:420(__init__)
    46416    0.136    0.000    0.401    0.000 validators.py:129(validate_kwargs)
    15286    0.399    0.000    0.399    0.000 {built-in method _pickle.dump}
    88775    0.263    0.000    0.398    0.000 textProcessor.py:181(is_word)
    82522    0.141    0.000    0.395    0.000 _html5lib.py:224(__init__)
    46416    0.095    0.000    0.393    0.000 common.py:54(is_object_dtype)
    92832    0.393    0.000    0.393    0.000 {built-in method numpy.core.multiarray.empty}
   456816    0.391    0.000    0.391    0.000 {method 'write' of '_io.TextIOWrapper' objects}
     2662    0.009    0.000    0.388    0.000 feedparser.py:178(_call_parse)
    23208    0.114    0.000    0.384    0.000 common.py:194(is_bool_indexer)
     1331    0.016    0.000    0.382    0.000 _inputstream.py:723(handleMeta)
   207785    0.352    0.000    0.382    0.000 re.py:286(_compile)
