         2098685989 function calls (2070205242 primitive calls) in 8408.946 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    47614    0.328    0.000   63.601    0.001 frame.py:4557(_join_compat)
   205827    7.908    0.000   63.487    0.000 internals.py:4270(form_blocks)
    47614    0.259    0.000   63.044    0.001 merge.py:53(merge)
   381238    4.771    0.000   62.734    0.000 internals.py:4511(_consolidate)
  1976557   16.372    0.000   62.015    0.000 cast.py:227(_maybe_promote)
    47614    0.929    0.000   61.498    0.001 merge.py:545(get_result)
  2088280   10.106    0.000   61.077    0.000 __init__.py:557(format)
   170945    2.730    0.000   60.677    0.000 generic.py:3937(groupby)
    95226    0.440    0.000   60.010    0.001 internals.py:3155(isnull)
  1226412    1.700    0.000   60.009    0.000 html5parser.py:219(normalizedTokens)
   170943    2.916    0.000   59.524    0.000 base.py:3242(drop)
 44162900   25.505    0.000   59.422    0.000 generic.py:7(_check)
   179028   58.826    0.000   58.826    0.000 {method 'findall' of '_sre.SRE_Pattern' objects}
   305516    0.630    0.000   58.567    0.000 indexing.py:89(_get_label)
   305516    4.357    0.000   57.862    0.000 generic.py:1679(xs)
   170945    0.645    0.000   56.855    0.000 groupby.py:1678(group_info)
   170945    0.990    0.000   56.730    0.000 groupby.py:1502(groupby)
   642943    7.594    0.000   56.653    0.000 base.py:2217(get_indexer)
 14758412   16.075    0.000   56.286    0.000 {pandas.lib.values_from_object}
   170945    1.181    0.000   56.111    0.000 groupby.py:1686(_get_compressed_labels)
   376772    3.447    0.000   55.525    0.000 base.py:2496(reindex)
   170945    3.066    0.000   55.427    0.000 groupby.py:341(__init__)
  1226412    9.611    0.000   55.296    0.000 _tokenizer.py:49(__iter__)
   158215    1.458    0.000   54.764    0.000 merge.py:1664(_get_new_axes)
  1836813   12.685    0.000   54.287    0.000 cast.py:765(_possibly_cast_to_datetime)
   170945    0.470    0.000   53.839    0.000 groupby.py:1687(<listcomp>)
  3139234   17.570    0.000   53.553    0.000 common.py:365(_asarray_tuplesafe)
   341890    0.633    0.000   53.474    0.000 groupby.py:2315(labels)
   205829    2.760    0.000   53.343    0.000 base.py:1440(append)
22596098/22184443   48.232    0.000   52.969    0.000 {built-in method numpy.core.multiarray.array}
   170945    1.716    0.000   52.841    0.000 groupby.py:2327(_make_labels)
   658319    2.287    0.000   52.718    0.000 frame.py:2061(_getitem_column)
  7340516    6.149    0.000   52.014    0.000 base.py:3637(_ensure_index)
   317344    3.670    0.000   51.769    0.000 threading.py:533(wait)
  1043972    3.417    0.000   51.023    0.000 __init__.py:1399(makeRecord)
  5573686   18.652    0.000   50.662    0.000 internals.py:96(__init__)
   658319    3.593    0.000   50.217    0.000 generic.py:1381(_get_item_cache)
   170945    5.460    0.000   48.895    0.000 groupby.py:2340(_get_grouper)
   678829    7.751    0.000   48.727    0.000 internals.py:4528(_merge_blocks)
    95226    0.179    0.000   47.823    0.001 indexing.py:794(_getitem_tuple)
  1043972   23.962    0.000   47.606    0.000 __init__.py:246(__init__)
  3543730   47.435    0.000   47.435    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
   158215    1.089    0.000   46.306    0.000 merge.py:1700(_get_concat_axis)
   317150    4.366    0.000   46.274    0.000 threading.py:263(wait)
  2172640    2.936    0.000   46.236    0.000 generic.py:2795(_consolidate_inplace)
   158213    3.365    0.000   45.910    0.000 tweetProcessor.py:116(remove_user_mentions_hashtags)
   202363    0.799    0.000   44.980    0.000 indexing.py:1599(_getitem_axis)
